name,nickname,dob,nationality,weight_class,gender,promotion,rank,wins,losses,draws,no_contests,wins_ko,wins_sub,wins_dec,losses_ko,losses_sub,losses_dec,archetype,popularity,height_in,reach_in,stance,skill_hint
Francis Ngannou,The Predator,1986-09-05,Cameroon,Heavyweight,M,PFL,,19,3,0,0,15,3,1,1,1,1,Brawler,92,76,83,Orthodox,82
Renan Ferreira,Problema,1990-01-27,Brazil,Heavyweight,M,PFL,,13,6,0,3,11,1,1,3,2,1,Brawler,45,80,80,Orthodox,74
Vadim Nemkov,,1992-06-20,Russia,Heavyweight,M,PFL,,20,2,0,1,7,7,6,1,0,1,Well-Rounded,50,72,75,Orthodox,78
Anatoly Malykhin,Sladkiy,1988-02-13,Russia,Heavyweight,M,ONE,,15,1,0,0,13,0,2,0,0,1,Brawler,48,75,74,Orthodox,79
Ryan Bader,Darth,1983-06-07,United States,Heavyweight,M,PFL,,31,8,0,1,14,2,15,5,2,1,Wrestle-Boxer,55,74,74,Orthodox,69
Denis Goltsov,The Russian Bogatyr,1990-04-09,Russia,Heavyweight,M,PFL,,36,9,0,0,20,9,7,4,2,3,Well-Rounded,35,78,80,Orthodox,71
Linton Vassell,The Big Swarm,1983-07-28,England,Heavyweight,M,PFL,,26,10,0,1,12,6,8,5,3,2,Ground Control,30,78,79,Orthodox,66
Valentin Moldavsky,,1991-08-22,Russia,Heavyweight,M,PFL,,15,4,0,2,5,2,8,2,0,2,Wrestler,30,75,76,Orthodox,69
Evgeny Goncharov,,1989-05-01,Russia,Heavyweight,M,ACA,,22,3,0,1,10,2,10,1,0,2,Volume Striker,28,76,77,Orthodox,69
Phil De Fries,And Still,1986-11-09,England,Heavyweight,M,KSW,,29,6,0,1,10,13,6,4,1,1,Ground Control,35,76,77,Southpaw,69
Sergey Bilostenniy,,1996-03-10,Russia,Heavyweight,M,ACA,,15,4,0,0,9,2,4,2,0,2,Kickboxer,20,77,78,Orthodox,64
Mukhamad Vakhaev,Black Lion,1993-04-20,Russia,Heavyweight,M,ACA,,13,9,1,0,8,0,5,4,0,5,Boxer,18,75,77,Orthodox,58
Oleg Popov,,1993-08-15,Russia,Heavyweight,M,ACA,,23,2,0,0,8,3,12,1,0,1,Wrestler,22,74,76,Orthodox,68
Alikhan Vakhaev,Umar,1994-02-11,Russia,Heavyweight,M,ACA,,15,3,0,0,6,0,9,1,0,2,Volume Striker,18,76,78,Orthodox,63
Hugo Cunha,Silverback,1994-06-05,Brazil,Heavyweight,M,Regional,,8,3,0,0,4,3,1,2,0,1,Brawler,15,76,78,Southpaw,
Kirill Kornilov,,1992-09-18,Russia,Heavyweight,M,ACA,,20,3,1,0,7,4,9,1,0,2,Wrestler,18,75,77,Orthodox,66
Ji Won Kang,Mighty Warrior,1992-07-30,South Korea,Heavyweight,M,Regional,,8,4,0,0,4,2,2,2,0,2,Well-Rounded,15,75,77,Orthodox,
Pavel Dailidko,The ExPeriMenT,1995-05-12,Lithuania,Heavyweight,M,Regional,,12,2,0,0,11,0,1,1,0,1,Brawler,18,78,79,Orthodox,64
Jesus Navarrete,El Tanque,1997-12-03,Mexico,Heavyweight,M,Regional,,7,2,0,0,5,2,0,1,0,1,Brawler,12,74,76,Orthodox,
Kirill Grishenko,,1990-10-25,Belarus,Heavyweight,M,Regional,,9,2,0,0,3,1,5,1,0,1,Wrestle-Boxer,15,77,78,Orthodox,
Aleksandr Maslov,,1994-11-08,Russia,Heavyweight,M,ACA,,12,1,0,0,7,0,5,0,0,1,Boxer,15,76,77,Orthodox,63
Lazar Todev,The Punisher,1990-06-14,Bulgaria,Heavyweight,M,Regional,,14,7,0,0,7,0,7,3,0,4,Volume Striker,12,76,77,Orthodox,
Nyle Bartling,,1996-01-22,United States,Heavyweight,M,Regional,,9,3,0,0,5,3,1,2,0,1,Well-Rounded,12,75,77,Orthodox,
Khetag Sabeev,,1998-04-07,Russia,Heavyweight,M,Regional,,3,0,0,0,3,0,0,0,0,0,Brawler,10,75,77,Orthodox,
Caio Machado,Bigfoot,1995-02-28,Brazil,Heavyweight,M,Regional,,13,5,1,0,10,0,3,3,0,2,Brawler,15,78,79,Orthodox,60
Giannis Kazantzidis,,1997-09-15,Greece,Heavyweight,M,Regional,,5,0,0,0,5,0,0,0,0,0,Brawler,10,76,78,Orthodox,
Eduardo Neves,Bebezao,1995-07-19,Brazil,Heavyweight,M,Regional,,9,3,0,0,5,4,0,2,0,1,BJJ Specialist,12,77,78,Orthodox,
Michal Martínek,Blackbeard,1993-01-30,Czechia,Heavyweight,M,OKTAGON,,13,7,0,0,9,0,4,4,0,3,Brawler,15,75,77,Orthodox,58
Miha Frlic,,1999-03-25,Slovenia,Heavyweight,M,Regional,,7,1,1,0,7,0,0,1,0,0,Brawler,10,76,77,Orthodox,
Kyle Noblitt,,1990-08-12,United States,Heavyweight,M,Regional,,11,2,0,0,0,4,7,1,0,1,Ground Control,8,74,76,Orthodox,
Anthony Wint,Bow Down,1997-06-08,United States,Heavyweight,M,Regional,,6,0,0,0,4,1,1,0,0,0,Brawler,10,75,76,Orthodox,
Jordan Heiderman,Thor,1996-11-16,Canada,Heavyweight,M,Regional,,7,2,0,0,1,6,0,1,0,1,BJJ Specialist,10,76,78,Orthodox,
Arslan Bilalov,,1999-08-02,Russia,Heavyweight,M,Regional,,6,0,0,0,1,4,1,0,0,0,BJJ Specialist,10,75,77,Orthodox,
Brett Martin,Big Dog,1992-04-14,United States,Heavyweight,M,Regional,,12,1,0,1,5,3,4,0,0,1,Well-Rounded,12,75,77,Orthodox,
Charlie Cleveland,The Reaper,2000-02-09,United States,Heavyweight,M,Regional,,6,1,0,0,3,2,1,1,0,0,Well-Rounded,10,76,77,Orthodox,
Mikhail Mokhnatkin,,1990-05-22,Russia,Heavyweight,M,Regional,,16,7,2,0,9,3,4,3,1,3,Wrestle-Boxer,12,76,78,Orthodox,
Said Sowma,,1995-10-17,United States,Heavyweight,M,Regional,,11,5,0,0,6,0,5,2,0,3,Boxer,12,74,76,Orthodox,
Arkadiusz Wrzosek,Hightower,1992-08-28,Poland,Heavyweight,M,Regional,,7,2,0,0,4,3,0,2,0,0,Kickboxer,15,78,79,Orthodox,
Grigoriy Ponomarev,Grizzly,1997-01-12,Russia,Heavyweight,M,Regional,,6,3,0,0,5,1,0,2,0,1,Brawler,10,75,77,Orthodox,
Matt Gawlik,Bear Wolf,1999-06-20,United States,Heavyweight,M,Regional,,5,0,0,0,4,1,0,0,0,0,Brawler,10,75,76,Orthodox,
Jimmy Lawson,Greedy,1990-12-01,United States,Heavyweight,M,Regional,,4,2,0,0,3,0,1,1,0,1,Wrestler,8,76,78,Orthodox,
Rassul Khatayev,,1998-09-09,Russia,Heavyweight,M,Regional,,5,0,0,0,1,3,1,0,0,0,BJJ Specialist,10,74,76,Orthodox,
Jamelle Jones,The Beast,1990-03-17,United States,Heavyweight,M,Regional,,15,8,0,0,10,3,2,5,2,1,Brawler,10,75,77,Orthodox,
Joel Faglier,The Sniper,1999-01-05,United States,Heavyweight,M,Regional,,6,0,0,0,2,3,1,0,0,0,Well-Rounded,10,75,76,Orthodox,
Alexander Soldatkin,,1992-02-26,Russia,Heavyweight,M,ACA,,18,4,0,0,10,0,8,2,0,2,Wrestle-Boxer,14,76,78,Orthodox,62
Domingos Barros,Destroyer,1991-09-23,Guinea-Bissau,Heavyweight,M,Regional,,8,1,0,0,4,0,4,0,0,1,Volume Striker,10,75,77,Orthodox,
Alboury Ndiaye,,1999-11-11,Senegal,Heavyweight,M,Regional,,2,0,0,0,2,0,0,0,0,0,Brawler,8,77,79,Orthodox,
Tiriel Abramović,,2001-04-18,Croatia,Heavyweight,M,Regional,,4,0,0,0,4,0,0,0,0,0,Brawler,10,77,78,Orthodox,
Tsuyoshi Sudario,Takanofuji Sanzo,1997-10-01,Japan,Heavyweight,M,RIZIN,,9,4,0,0,7,0,2,3,0,1,Brawler,18,75,76,Orthodox,
Mario Piazzon,,1997-05-26,Brazil,Heavyweight,M,Regional,,10,1,0,0,8,0,2,0,0,1,Brawler,12,76,78,Orthodox,
David Balevski,,1999-12-13,North Macedonia,Heavyweight,M,Regional,,5,0,0,0,3,0,2,0,0,0,Boxer,10,75,77,Orthodox,
Sultan Gapizov,,2000-07-04,Russia,Heavyweight,M,Regional,,1,0,0,0,1,0,0,0,0,0,Wrestler,8,75,77,Orthodox,
